Process Date,Process ID,Artifact name,Library concentration (nM),Size (bp)
2020-06-03,24-92408,10923-18,13.3116758889,540
2020-06-03,24-92408,7624-19,8.48049835733,557
2020-06-03,24-92408,1534-20,14.3345214369,530
2020-06-03,24-92408,1535-20,13.406513088,539
2020-06-03,24-92408,1536-20,13.6112674241,536
2020-06-03,24-92408,1742-20,12.4763685064,549
2020-06-03,24-92408,1744-20,11.1473907716,539
2020-06-03,24-92408,1746-20,8.37756458306,547
2020-06-03,24-92408,2174-20,11.1232114816,548
2020-06-03,24-92408,2317-20,12.2117542943,553
2020-06-05,24-93462,11654-19,12.5057146551,485
2020-06-05,24-93462,2454-20,18.2670399742,483
2020-06-05,24-93462,2455-20,10.5028584447,483
2020-06-05,24-93462,2797-20,10.4969295197,478
2020-06-05,24-93462,2798-20,19.0553255567,499
2020-06-05,24-93462,2799-20,18.0357970951,492
2020-06-05,24-93462,2847-20,11.2311154159,492
2020-06-05,24-93462,2849-20,18.3424616163,481
2020-06-05,24-93462,2850-20,17.2068148849,483
2020-06-05,24-93462,6055-12,18.3770388593,489
2020-06-05,24-93462,6056-12,12.2163003841,484
2020-06-05,24-93462,6057-12,16.9031374511,490
2020-06-05,24-93462,1069-18,17.6548844659,485
2020-06-05,24-93462,10481-18,14.4006505461,485
2020-06-05,24-93462,10484-18,18.6051192923,479
2020-06-05,24-93462,11098-19,10.1197571361,487
2020-06-05,24-93462,2964-20,10.0156205052,478
2020-06-05,24-93462,2971-20,12.4266812642,487
2020-06-05,24-93462,2972-20,10.663412336,487
2020-06-05,24-93462,2973-20,11.9613645153,482
2020-06-05,24-93462,2963-20,15.8285440281,485
2020-06-05,24-93462,3002-20,26.1431251532,470
2020-06-05,24-93462,3003-20,18.5017275055,472
2020-06-05,24-93462,3004-20,18.7234690825,480
2020-06-11,24-93734,4573-20,10.4229971142,565
2020-06-11,24-93734,4562-20,10.3640025002,527
2020-06-11,24-93734,4611-20,12.2157127203,477
2020-06-11,24-93734,4521-20,7.7767192925,404
2020-06-11,24-93734,4783-20,12.0754687036,435
2020-06-11,24-93734,4522-20,11.6502036413,459
2020-06-11,24-93734,4616-20,10.964739722,484
2020-06-11,24-93734,4585-20,12.8402750038,567
2020-06-11,24-93734,4656-20,11.9976759963,566
2020-06-11,24-93734,4515-20,11.8439749825,552
