Process Date,Process ID,Artifact name,Library concentration (nM),Size (bp)
2020-03-11,24-82305,9115-19,12.2741197072,538
2020-03-11,24-82305,851-20,9.58935867494,549
2020-03-11,24-82305,8905-19,12.1457059551,529
2020-03-11,24-82305,8907-19,9.16272184591,532
2020-03-11,24-82305,9262-19,13.2767076306,524
2020-03-16,24-83692,9386-19,13.1704210104,529
2020-03-16,24-83692,9388-19,12.74305709,541
2020-03-16,24-83692,9389-19,15.4310023582,550
2020-03-16,24-83692,2081-20,21.8768690042,526
2020-03-16,24-83692,1038-20,18.3540559676,518
2020-03-16,24-83692,1040-20,18.3209698495,519
2020-03-16,24-83692,1042-20,15.571105378,532
2020-03-16,24-83692,1063-20,20.3760112567,535
2020-03-16,24-83692,1176-20,5.90700544785,550
2020-03-16,24-83692,1259-20,7.52419486074,556
2020-03-16,24-83692,1328-20,9.3309755138,550
2020-03-16,24-83692,1559-20,9.28550489047,534
2020-03-16,24-83692,1492-20,5.38553949803,543
2020-03-16,24-83692,1469-20,7.61501732676,542
2020-03-16,24-83692,1455-20,7.14824262845,549
2020-03-16,24-83692,1369-20,7.01795127478,538
2020-04-28,24-85232,9386-19,12.0781185299,529
2020-04-28,24-85232,9388-19,12.1059506767,541
2020-04-28,24-85232,1038-20,14.8522378917,518
2020-04-28,24-85232,1042-20,14.2172984291,532
2020-04-28,24-85232,1063-20,18.3901518516,535
2020-04-28,24-85232,2232-19,15.5639177851,527
2020-04-28,24-85232,7403-19,15.4188846154,512
2020-04-28,24-85232,8143-19,13.3906754014,518
2020-04-28,24-85232,9286-19,15.8708576895,513
2020-04-28,24-85232,9287-19,11.2588467911,518
2020-04-28,24-85232,9288-19,11.0231929604,515
2020-04-28,24-85232,1532-20,16.6263623986,511
2020-04-28,24-85232,1543-20,14.9641813893,517
2020-04-28,24-85232,1624-20,11.6469682173,513
2020-04-28,24-85232,1581-20,12.1455199665,532
2020-04-28,24-85232,1657-20,11.4340628175,526
2020-04-28,24-85232,1736-20,13.1563075763,511
2020-04-28,24-85232,1791-20,12.9831923454,505
2020-04-28,24-85232,1835-20,13.277393233,515
2020-04-28,24-85232,1803-20,13.2792320464,528
2020-04-28,24-85232,1283-20,14.601117457,530
2020-04-28,24-85232,780-20,12.4244041379,521
2020-04-28,24-85232,1943-20,13.1176849158,521
2020-04-28,24-85232,2085-20,11.0738557692,520
2020-04-03,24-86076,7895-19,9.04759926591,520
2020-04-03,24-86076,8553-19,12.7122484948,520
2020-04-03,24-86076,8554-19,11.332636565,512
2020-04-03,24-86076,8555-19,9.9920100676,507
2020-04-03,24-86076,10496-19,11.9915765425,501
2020-04-03,24-86076,2817-20,14.7419048696,502
2020-04-03,24-86076,5689-14,8.72873424115,513
2020-04-03,24-86076,7576-14,12.4171227443,513
2020-04-03,24-86076,7579-14,8.78694611415,521
2020-04-03,24-86076,2091-19,10.2059654254,514
2020-04-03,24-86076,2092-19,11.3729838433,525
2020-04-03,24-86076,2093-19,11.1761108204,515
2020-04-03,24-86076,6624-19,9.69480581872,522
2020-04-03,24-86076,9047-19,8.98422952561,530
2020-04-03,24-86076,9048-19,11.6842279859,511
2020-04-03,24-86076,8564-19,11.1156882574,538
2020-04-03,24-86076,8565-19,10.6426390393,527
2020-04-03,24-86076,8566-19,12.0543021878,522
2020-04-03,24-86076,8853-19,12.9260867368,521
2020-04-03,24-86076,8854-19,9.65596009533,533
2020-04-03,24-86076,8855-19,10.9379519028,525
2020-04-03,24-86076,9514-19,10.6306134862,516
2020-04-03,24-86076,10735-19,6.57529967011,529
2020-04-03,24-86076,10795-19,13.4096145041,543
2020-04-28,24-86988,111D,6.21523499138,551
2020-04-28,24-86988,111G,8.412526786,573
2020-04-28,24-86988,9968-19,10.5291708495,549
2020-04-28,24-86988,9969-19,9.06264163356,550
2020-04-28,24-86988,9970-19,10.5976353331,541
2020-04-28,24-86988,10583-19,10.4960529902,540
2020-04-28,24-86988,10584-19,11.1004554857,548
2020-04-28,24-86988,10585-19,9.08939139974,556
2020-04-28,24-86988,10639-19,6.61427006172,547
